fips,place_name,state_abbr,primary_county_fips,county_name,POPESTIMATE2025,civica_score,market_label,national_rank,town_local_score,county_market_score,rank_in_county,towns_in_county,dim1,dim2,dim3,dim4,fmr_2br,town_income,rent_burden,hpi_3yr_avg,avg_annual_wage,sector_quality,hhi,town_income_growth,violent_per100k,property_per100k,town_scale_pct,est_per_1k,nfip_per_cap,storm_per_cap,wildfire_rank,crime_imputed,town_growth_5yr,town_growth_1yr,town_growth_rel_county,RNETMIG2023,inmover_income_ratio,total_permits,income_imputed
4753460,Nolensville town,TN,47187,Williamson County,15789,84.8541,Strong Buy,1,81.3569,88.5529,1,6,25.5641,25.1667,18.9398,15.1835,1730.0,158315.5112,0.1311,5.3733,86075.0,1.0654,1030.3017,0.0558,44.3347,215.3398,77.2816,32.0039,4.7658,13.4434,0.228,0,0.1248,0.0031,0.0349,11.2331,1.0172,1621.0,0
1882700,Westfield city,IN,18057,Hamilton County,66258,81.9738,Strong Buy,2,85.1294,78.6364,1,7,22.5958,23.3331,20.0936,15.9512,1473.0,152574.6487,0.1159,6.38,68651.0,1.0621,1090.1725,0.052,58.8608,614.2654,94.1755,26.9897,0.0131,3.8562,0.024,0,0.4092,0.0531,0.3002,14.9285,0.996,4146.0,0
3716400,Davidson town,NC,37119,Mecklenburg County,16662,81.1768,Strong Buy,3,76.6075,86.0094,1,7,26.331,21.9173,18.2491,14.6794,1686.0,189599.7199,0.1067,5.3667,85620.0,1.0703,1004.9146,-0.1256,48.0134,396.1109,78.1484,29.5707,2.7876,22.9345,0.336,0,0.1194,0.0202,0.0144,14.9807,0.9912,7496.0,0
4773900,Thompson's Station town,TN,47187,Williamson County,9469,80.6885,Strong Buy,4,73.2526,88.5529,2,6,25.3006,22.4663,16.3609,16.5608,1730.0,151895.2689,0.1367,5.3733,86075.0,1.0654,1030.3017,-0.015,141.8799,658.6758,67.6049,32.0039,4.7658,13.4434,0.228,1,0.253,0.0436,0.1631,11.2331,1.0172,1621.0,0
3701520,Apex town,NC,37183,Wake County,80419,79.7754,Strong Buy,5,80.2631,79.2595,1,12,21.5529,22.375,19.7008,16.1465,1750.0,141262.3665,0.1487,3.7567,75482.0,1.0508,1080.1822,0.0233,42.2786,374.2897,95.5001,26.9425,1.6207,1.8505,0.257,0,0.2325,0.0615,0.1208,17.2051,0.9975,13806.0,0
3714700,Cornelius town,NC,37119,Mecklenburg County,35094,79.5639,Strong Buy,6,73.4694,86.0094,2,7,26.223,22.1066,16.6461,14.5882,1686.0,182355.5312,0.1109,5.3667,85620.0,1.0703,1004.9146,-0.0696,116.8291,1042.9133,88.4679,29.5707,2.7876,22.9345,0.336,0,0.1136,0.0224,0.0086,14.9807,0.9912,7496.0,0
2929494,Greenwood city,MO,29095,Jackson County,6315,79.1656,Strong Buy,7,78.4726,79.8987,1,13,26.9391,23.2338,16.7949,12.1978,1358.0,135458.4069,0.1203,4.9867,69595.0,1.0532,1205.4932,0.0666,79.1766,475.0594,58.0208,24.846,2.2935,0.0232,0.328,0,0.0476,0.0102,0.0262,2.547,0.9952,4036.0,0
1902305,Ankeny city,IA,19153,Polk County,77833,79.1629,Strong Buy,8,81.0647,77.1514,1,14,24.9837,25.0799,15.6095,13.4898,1318.0,115156.8526,0.1373,4.5767,70401.0,1.0528,1080.4321,0.1092,179.8723,1020.1328,95.2664,26.8902,4.0935,160.6943,0.28,0,0.1336,0.018,0.0859,1.5786,0.9971,4730.0,0
3733120,Huntersville town,NC,37119,Mecklenburg County,68535,79.1286,Strong Buy,9,72.6226,86.0094,3,7,23.703,24.4667,16.4015,14.5574,1686.0,126236.0509,0.1603,5.3667,85620.0,1.0703,1004.9146,0.0406,140.0744,1189.1734,94.4482,29.5707,2.7876,22.9345,0.336,0,0.1124,0.0223,0.0074,14.9807,0.9912,7496.0,0
0182848,Wilsonville town,AL,01117,Shelby County,2015,79.1129,Strong Buy,10,79.7661,78.4221,1,12,23.4249,24.9753,16.9037,13.809,1266.0,93550.4386,0.1624,4.62,66083.0,1.0579,1048.0188,0.1419,0.0,0.0,25.4018,23.5169,9.477,0.2306,0.695,0,0.0804,0.0281,0.015,9.1956,0.9948,1308.0,0
